product,subsystem,system_element,function,failure_mode,failure_cause,failure_effect,occurrence_rating,detection_rating,severity_rating,measure_type,measure_name,measure_description
Washing Machine,Motor System,Main Motor,Rotate drum,Motor fails to start,Electrical connection failure,No washing cycle,4,3,9,preventive,Regular connection inspection,Monthly inspection of all electrical connections
Washing Machine,Motor System,Main Motor,Rotate drum,Motor fails to start,Electrical connection failure,No washing cycle,4,3,9,detective,Electrical continuity testing,Test electrical continuity during maintenance
Washing Machine,Motor System,Main Motor,Rotate drum,Motor fails to start,Motor winding burnout,No washing cycle,2,1,9,preventive,Temperature monitoring,Install temperature sensors on motor windings
Washing Machine,Motor System,Main Motor,Rotate drum,Motor fails to start,Motor winding burnout,No washing cycle,2,1,9,detective,Thermal imaging inspection,Use thermal camera for motor inspection
Washing Machine,Motor System,Main Motor,Rotate drum,Motor fails to start,Start capacitor failure,No washing cycle,4,3,9,preventive,Capacitor replacement schedule,Replace start capacitor every 3 years
Washing Machine,Motor System,Main Motor,Rotate drum,Motor fails to start,Start capacitor failure,No washing cycle,4,3,9,detective,Capacitor testing,Test capacitor during routine maintenance
Washing Machine,Motor System,Main Motor,Rotate drum,Motor overheating,Blocked ventilation,Motor damage,3,4,8,preventive,Ventilation cleaning,Clean motor vents quarterly
Washing Machine,Motor System,Main Motor,Rotate drum,Motor overheating,Blocked ventilation,Motor damage,3,4,8,detective,Temperature monitoring,Monitor motor operating temperature
Washing Machine,Motor System,Main Motor,Rotate drum,Motor overheating,Overloading,Motor damage,5,4,8,preventive,Load monitoring system,Install automatic load detection
Washing Machine,Motor System,Main Motor,Rotate drum,Motor overheating,Overloading,Motor damage,5,4,8,detective,Current monitoring,Monitor motor current draw
Washing Machine,Motor System,Main Motor,Rotate drum,Excessive vibration,Motor mount loosening,Noise and instability,4,8,6,preventive,Mount inspection,Check motor mounts during service
Washing Machine,Motor System,Main Motor,Rotate drum,Excessive vibration,Motor mount loosening,Noise and instability,4,8,6,detective,Vibration monitoring,Install vibration sensors
Washing Machine,Motor System,Main Motor,Rotate drum,Excessive vibration,Motor imbalance,Noise and instability,3,8,6,preventive,Motor balancing,Balance motor during installation
Washing Machine,Motor System,Main Motor,Rotate drum,Excessive vibration,Motor imbalance,Noise and instability,3,8,6,detective,Vibration analysis,Perform vibration analysis testing
Washing Machine,Motor System,Main Motor,Control speed,Speed control failure,Controller malfunction,Incorrect wash speed,3,5,7,preventive,Controller replacement schedule,Replace speed controller every 5 years
Washing Machine,Motor System,Main Motor,Control speed,Speed control failure,Controller malfunction,Incorrect wash speed,3,5,7,detective,Speed monitoring,Monitor actual motor speed vs setpoint
Washing Machine,Motor System,Main Motor,Control speed,Speed control failure,Speed sensor failure,Incorrect wash speed,4,4,7,preventive,Sensor calibration,Calibrate speed sensors annually
Washing Machine,Motor System,Main Motor,Control speed,Speed control failure,Speed sensor failure,Incorrect wash speed,4,4,7,detective,Sensor testing,Test speed sensor during maintenance
Washing Machine,Motor System,Drive Belt,Transfer power,Belt breaks,Belt wear,No drum rotation,4,1,8,preventive,Belt replacement schedule,Replace drive belt every 2 years
Washing Machine,Motor System,Drive Belt,Transfer power,Belt breaks,Belt wear,No drum rotation,4,1,8,detective,Belt inspection,Visual inspection of belt condition
Washing Machine,Motor System,Drive Belt,Transfer power,Belt breaks,Excessive tension,No drum rotation,2,1,8,preventive,Tension adjustment,Proper belt tension during installation
Washing Machine,Motor System,Drive Belt,Transfer power,Belt breaks,Excessive tension,No drum rotation,2,1,8,detective,Tension measurement,Measure belt tension during service
Washing Machine,Motor System,Drive Belt,Transfer power,Belt slips,Belt stretching,Reduced drum speed,5,6,6,preventive,Quality belt selection,Use high-quality belts
Washing Machine,Motor System,Drive Belt,Transfer power,Belt slips,Belt stretching,Reduced drum speed,5,6,6,detective,Performance monitoring,Monitor drum speed vs motor speed
Washing Machine,Motor System,Drive Belt,Transfer power,Belt slips,Pulley wear,Reduced drum speed,3,6,6,preventive,Pulley maintenance,Resurface pulleys during service
Washing Machine,Motor System,Drive Belt,Transfer power,Belt slips,Pulley wear,Reduced drum speed,3,6,6,detective,Pulley inspection,Inspect pulley condition regularly
Washing Machine,Motor System,Motor Controller,Control motor operation,Controller fails,Electronic component failure,No motor control,2,2,9,preventive,Environmental protection,Protect controller from moisture
Washing Machine,Motor System,Motor Controller,Control motor operation,Controller fails,Electronic component failure,No motor control,2,2,9,detective,Diagnostic monitoring,Built-in controller diagnostics
Washing Machine,Motor System,Motor Controller,Control motor operation,Intermittent operation,Loose connections,Erratic motor behavior,4,5,7,preventive,Connection securing,Use thread-locking compound on connections
Washing Machine,Motor System,Motor Controller,Control motor operation,Intermittent operation,Loose connections,Erratic motor behavior,4,5,7,detective,Connection testing,Test all connections during service
Washing Machine,Motor System,Motor Controller,Provide motor protection,Overcurrent protection fails,Relay failure,Motor damage risk,3,3,8,preventive,Relay replacement,Replace protection relays every 4 years
Washing Machine,Motor System,Motor Controller,Provide motor protection,Overcurrent protection fails,Relay failure,Motor damage risk,3,3,8,detective,Protection testing,Test overcurrent protection monthly
Washing Machine,Water System,Water Pump,Circulate wash water,Pump fails to operate,Pump motor failure,No water circulation,3,2,9,preventive,Motor maintenance,Lubricate pump motor bearings
Washing Machine,Water System,Water Pump,Circulate wash water,Pump fails to operate,Pump motor failure,No water circulation,3,2,9,detective,Motor monitoring,Monitor pump motor current
Washing Machine,Water System,Water Pump,Circulate wash water,Pump fails to operate,Impeller blockage,No water circulation,4,3,9,preventive,Water filtration,Install water filter before pump
Washing Machine,Water System,Water Pump,Circulate wash water,Pump fails to operate,Impeller blockage,No water circulation,4,3,9,detective,Flow monitoring,Monitor water flow rate
Washing Machine,Water System,Water Pump,Circulate wash water,Reduced pumping capacity,Impeller wear,Poor washing performance,5,4,6,preventive,Water quality control,Use filtered water to reduce wear
Washing Machine,Water System,Water Pump,Circulate wash water,Reduced pumping capacity,Impeller wear,Poor washing performance,5,4,6,detective,Performance testing,Test pump capacity regularly
Washing Machine,Water System,Water Pump,Circulate wash water,Water leakage,Seal failure,Water damage,4,6,7,preventive,Seal replacement,Replace pump seals every 3 years
Washing Machine,Water System,Water Pump,Circulate wash water,Water leakage,Seal failure,Water damage,4,6,7,detective,Leak detection,Install water leak sensors
Washing Machine,Water System,Water Pump,Drain water,Drain pump fails,Pump blockage,Water remains in drum,4,2,8,preventive,Lint filtering,Install lint filter before drain pump
Washing Machine,Water System,Water Pump,Drain water,Drain pump fails,Pump blockage,Water remains in drum,4,2,8,detective,Pump inspection,Regular drain pump inspection
Washing Machine,Water System,Water Pump,Drain water,Drain pump fails,Pump motor failure,Water remains in drum,3,2,8,preventive,Motor protection,Install pump motor overload protection
Washing Machine,Water System,Water Pump,Drain water,Drain pump fails,Pump motor failure,Water remains in drum,3,2,8,detective,Motor monitoring,Monitor drain pump motor status
Washing Machine,Water System,Inlet Valve,Control water entry,Valve fails to open,Solenoid failure,No water fill,3,3,9,preventive,Solenoid replacement,Replace solenoid every 4 years
Washing Machine,Water System,Inlet Valve,Control water entry,Valve fails to open,Solenoid failure,No water fill,3,3,9,detective,Valve testing,Test inlet valve operation monthly
Washing Machine,Water System,Inlet Valve,Control water entry,Valve fails to close,Valve seat damage,Water overflow,4,4,8,preventive,Water pressure regulation,Install pressure regulator
Washing Machine,Water System,Inlet Valve,Control water entry,Valve fails to close,Valve seat damage,Water overflow,4,4,8,detective,Level monitoring,Monitor water level continuously
Washing Machine,Water System,Inlet Valve,Filter incoming water,Valve clogging,Debris accumulation,Reduced water flow,6,5,5,preventive,Water pre-filtering,Install whole-house water filter
